,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
2008,30,Tamarisk Street,Valerie,Bailey,36,Head,Divorced,Female,Unemployed,None,None
2009,30,Tamarisk Street,Sally,Bailey,3,Daughter,NA,Female,Child,None,NA
2010,30,Tamarisk Street,Barbara,Tucker,25,Lodger,Divorced,Female,Research scientist (life sciences),None,None
2011,30,Tamarisk Street,Charlene,Gill,50,Lodger,Single,Female,Cytogeneticist,None,Catholic
2012,31,Tamarisk Street,Carole,Thomas,20,Head,Married,Female,University Student,None,Catholic
2013,31,Tamarisk Street,Thomas,Thomas,24,Husband,Married,Male,Chiropodist,None,None
2014,31,Tamarisk Street,Dennis,Thomas,3,Son,NA,Male,Child,None,NA
2015,32,Tamarisk Street,Thomas,Bradley,50,Head,Single,Male,"Designer, exhibition/display",None,Catholic
2016,32,Tamarisk Street,Marion,Bradley,25,Daughter,Single,Female,Unemployed,None,Catholic
2017,32,Tamarisk Street,Wayne,Bradley,25,Son,Divorced,Male,Personnel officer,None,Catholic
2018,32,Tamarisk Street,Samuel,Bradley,22,Son,Single,Male,Diplomatic Services operational officer,None,Catholic
2019,33,Tamarisk Street,Gerald,Wood,55,Head,Married,Male,Comptroller,None,None
2020,33,Tamarisk Street,Amber,Wood,57,Wife,Married,Female,"Designer, graphic",None,None
2021,34,Tamarisk Street,Melissa,Jones,56,Head,Married,Female,Land,None,Christian
2022,34,Tamarisk Street,Dylan,Jones,53,Husband,Married,Male,Retail buyer,None,Christian
2023,34,Tamarisk Street,Lucy,Jones,22,Daughter,Widowed,Female,University Student,None,Christian
2024,34,Tamarisk Street,Antony,Jones,22,Son,Single,Male,University Student,None,Christian
2025,34,Tamarisk Street,Raymond,Jones,11,Son,NA,Male,Student,None,NA
2026,35,Tamarisk Street,Amber,Brown,64,Head,Single,Female,Furniture designer,None,Christian
2027,35,Tamarisk Street,Lorraine,Ahmed,50,None,Single,Female,Electronics engineer,None,Christian
2028,35,Tamarisk Street,Jay,Nelson,36,None,Single,Male,Freight forwarder,None,Christian
2029,35,Tamarisk Street,Sam,Thomas,53,None,Single,Male,Industrial/product designer,None,None
2030,35,Tamarisk Street,Jasmine,Harvey,23,None,Single,Female,Legal executive,None,None
2031,35,Tamarisk Street,Ronald,Black,19,None,Single,Male,University Student,None,Methodist
2032,36,Tamarisk Street,Jennifer,Hughes,46,Head,Married,Female,Phytotherapist,None,Catholic
2033,36,Tamarisk Street,Aaron,Hughes,49,Husband,Married,Male,Clinical embryologist,None,None
2034,36,Tamarisk Street,Charlene,Hughes,16,Daughter,NA,Female,Student,None,NA
2035,36,Tamarisk Street,Reece,Hughes,11,Son,NA,Male,Student,None,NA
2036,37,Tamarisk Street,Jordan,Cameron,29,Head,Married,Male,Chiropodist,None,Catholic
2037,37,Tamarisk Street,Lisa,Cameron,26,Wife,Married,Female,Sports administrator,None,Catholic
2038,38,Tamarisk Street,Kyle,Miller,44,Head,Single,Male,Chartered certified accountant,None,Christian
2039,38,Tamarisk Street,Julie,Lewis,31,None,Single,Female,Heritage manager,None,None
2040,38,Tamarisk Street,Harriet,Marsh,36,None,Single,Female,Tour manager,None,Methodist
2041,38,Tamarisk Street,Gordon,Barlow,54,None,Single,Male,Freight forwarder,None,None
2042,38,Tamarisk Street,Scott,Knight,40,None,Single,Male,Leisure centre manager,None,None
2043,39,Tamarisk Street,Rosie,Finch,83,Head,Married,Female,Retired Advertising account executive,None,Christian
2044,39,Tamarisk Street,Roy,Finch,84,Husband,Married,Male,"Retired Editor, commissioning",None,Christian
2045,39,Tamarisk Street,Elliot,Finch,45,Son,Divorced,Male,Trade mark attorney,None,Christian
2046,39,Tamarisk Street,Sandra,Finch,45,Daughter,Divorced,Female,Chartered loss adjuster,None,Christian
2047,39,Tamarisk Street,Geraldine,Finch,44,Daughter,Single,Female,Private music teacher,None,Christian
2048,40,Tamarisk Street,Harriet,Jackson,51,Head,Single,Female,Quarry manager,None,Christian
2049,40,Tamarisk Street,Elliot,Abbott,14,Step-Son,NA,Male,Student,None,NA
2050,40,Tamarisk Street,Vanessa,Barnes-Abbott,11,Step-Daughter,NA,Female,Student,None,NA
2051,40,Tamarisk Street,Lucy,Barnes-Abbott,9,Step-Daughter,NA,Female,Student,None,NA
2052,41,Tamarisk Street,Valerie,Jones,75,Head,Married,Female,"Retired Secretary, company",None,Methodist
2053,41,Tamarisk Street,Jack,Jones,77,Husband,Married,Male,Retired Art gallery manager,None,Methodist
2054,42,Tamarisk Street,Nathan,Owen,27,Head,Married,Male,Unemployed,None,Sikh
2055,42,Tamarisk Street,Gail,Owen,22,Wife,Married,Female,University Student,None,Sikh
2056,43,Tamarisk Street,Amber,Bennett,19,Head,Married,Female,University Student,None,Catholic
2057,43,Tamarisk Street,Billy,Bennett,21,Husband,Married,Male,University Student,None,Catholic
2058,44,Tamarisk Street,Mohammad,Parkin,19,Head,Single,Male,University Student,None,Christian
2059,44,Tamarisk Street,Lynda,Jones,47,None,Single,Female,Magazine features editor,None,None
2060,44,Tamarisk Street,Kirsty,Jones,58,None,Single,Female,Unemployed,None,Christian
2061,44,Tamarisk Street,Kelly,Knight,32,None,Single,Female,"Accountant, chartered certified",None,Catholic
2062,45,Tamarisk Street,Kate,Oliver,64,Head,Single,Female,"Librarian, public",None,Methodist
2063,45,Tamarisk Street,Susan,Harrison,52,None,Single,Female,Marine scientist,None,Christian
2064,45,Tamarisk Street,Eric,Lynch,62,None,Single,Male,"Lecturer, higher education",None,None
2065,45,Tamarisk Street,Joanne,Murphy,38,None,Single,Female,Research scientist (medical),None,None
2066,46,Tamarisk Street,Molly,Mitchell,49,Head,Married,Female,Video editor,None,Catholic
2067,46,Tamarisk Street,Toby,Mitchell,50,Husband,Married,Male,"Psychologist, sport and exercise",None,None
2068,46,Tamarisk Street,Katie,Mitchell,13,Daughter,NA,Female,Student,None,NA
2069,46,Tamarisk Street,Ruth,Mitchell,9,Daughter,NA,Female,Student,None,NA
2070,46,Tamarisk Street,Alice,Mitchell,5,Daughter,NA,Female,Student,None,NA
2071,46,Tamarisk Street,Garry,Mitchell,2,Son,NA,Male,Child,None,NA
2072,47,Tamarisk Street,Bethan,Robertson,34,Head,Divorced,Female,Unemployed,None,None
2073,47,Tamarisk Street,Christian,Robertson,8,Son,NA,Male,Student,None,NA
2074,47,Tamarisk Street,Connor,Robertson,8,Son,NA,Male,Student,None,NA
2075,47,Tamarisk Street,Garry,Byrne-Robertson,4,Son,NA,Male,Child,None,NA
2076,47,Tamarisk Street,Billy,Byrne-Robertson,1,Son,NA,Male,Child,None,NA
2077,47,Tamarisk Street,Kenneth,Byrne-Robertson,0,Son,NA,Male,Child,None,NA
2078,48,Tamarisk Street,Annette,Lawrence,54,Head,Single,Female,Trading standards officer,None,Christian
2079,48,Tamarisk Street,Joel,Simpson,58,Partner,Single,Male,Insurance broker,None,Christian
2080,48,Tamarisk Street,Garry,Lawrence,17,Son,NA,Male,Student,None,NA
2081,49,Tamarisk Street,Jill,Black-White,35,Head,Divorced,Female,Unemployed,None,None
2082,49,Tamarisk Street,Lewis,Black-White,11,Son,NA,Male,Student,None,NA
2083,1,Clearwater Lodge,Gail,Ross,49,Head,Married,Female,Financial manager,None,Catholic
2084,1,Clearwater Lodge,Max,Ross,51,Husband,Married,Male,Unemployed,None,Catholic
2085,1,Clearwater Lodge,Jennifer,Ross,14,Daughter,NA,Female,Student,None,NA
2086,1,Clearwater Lodge,Donna,Ross,12,Daughter,NA,Female,Student,None,NA
2087,1,Clearwater Lodge,Kayleigh,Ross,8,Daughter,NA,Female,Student,None,NA
2088,2,Clearwater Lodge,Wayne,Thomas,23,Head,Single,Male,Unemployed,None,Christian
2089,2,Clearwater Lodge,Kelly,Thomas,2,Daughter,NA,Female,Child,None,NA
2090,3,Clearwater Lodge,Marilyn,Williams,43,Head,Married,Female,Higher education lecturer,None,Catholic
2091,3,Clearwater Lodge,Dennis,Williams,45,Husband,Married,Male,Fish farm manager,None,Catholic
2092,3,Clearwater Lodge,Owen,Williams,14,Son,NA,Male,Student,None,NA
2093,4,Clearwater Lodge,Lindsey,Khan,22,Head,Single,Female,University Student,None,Christian
2094,5,Clearwater Lodge,Joel,Ryan,23,Head,Married,Male,"Production assistant, radio",None,Muslim
2095,5,Clearwater Lodge,Jemma,Lawrence,21,Wife,Married,Female,University Student,None,Muslim
2096,6,Clearwater Lodge,Kim,Turner,71,Head,Single,Female,Retired Leisure centre manager,None,Christian
2097,6,Clearwater Lodge,Dawn,Turner,6,Granddaughter,NA,Female,Student,None,NA
2098,7,Clearwater Lodge,Josephine,Woods,81,Head,Married,Female,"Retired Programmer, systems",None,Christian
2099,7,Clearwater Lodge,Wayne,Woods,84,Husband,Married,Male,Retired Communications engineer,None,Christian
2100,8,Clearwater Lodge,Sophie,Barton,51,Head,Married,Female,Mudlogger,None,Catholic
2101,8,Clearwater Lodge,Elliott,Barton,48,Husband,Married,Male,Naval architect,None,Catholic
2102,8,Clearwater Lodge,Elizabeth,Barton,24,Daughter,Single,Female,General practice doctor,None,None
2103,8,Clearwater Lodge,Lindsey,Barton,17,Daughter,NA,Female,Student,None,NA
2104,9,Clearwater Lodge,Justin,Reed,57,Head,Single,Male,Ranger/warden,None,Christian
2105,9,Clearwater Lodge,Lesley,Bailey,14,Granddaughter,NA,Female,Student,None,NA
2106,10,Clearwater Lodge,Mitchell,Brown,87,Head,Married,Male,Retired Hospital pharmacist,None,Christian
2107,10,Clearwater Lodge,Alison,Brown,86,Wife,Married,Female,Retired Museum/gallery exhibitions officer,None,None
2108,11,Clearwater Lodge,Cheryl,O'Neill-Evans,46,Head,Married,Female,"Radiographer, diagnostic",None,None
2109,11,Clearwater Lodge,Mathew,O'Neill-Evans,51,Husband,Married,Male,Editorial assistant,None,None
2110,12,Clearwater Lodge,Amber,Pearson,43,Head,Divorced,Female,Unemployed,None,None
2111,12,Clearwater Lodge,Jay,Pearson,13,Son,NA,Male,Student,None,NA
2112,13,Clearwater Lodge,Charlene,Morgan,60,Head,Single,Female,Scientific laboratory technician,None,None
2113,13,Clearwater Lodge,Francesca,Morgan,33,Daughter,Single,Female,Naval architect,None,None
2114,14,Clearwater Lodge,Alex,Metcalfe,79,Head,Single,Male,"Retired Engineer, manufacturing",None,Christian
2115,15,Clearwater Lodge,Gerald,Burke,40,Head,Divorced,Male,Unemployed,None,Christian
2116,15,Clearwater Lodge,Alexandra,Burke,17,Daughter,NA,Female,Student,None,NA
2117,16,Clearwater Lodge,Holly,Collins,70,Head,Married,Female,Retired Legal executive,None,Christian
2118,16,Clearwater Lodge,Aaron,Collins,72,Husband,Married,Male,"Retired Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
2119,1,Foxglovepull Drive,Aimee,Fletcher,41,Head,Single,Female,Furniture designer,None,Catholic
2120,1,Foxglovepull Drive,Kevin,Brown,40,Partner,Single,Male,"Education officer, museum",None,Catholic
2121,2,Foxglovepull Drive,Mohammad,Gough,40,Head,Single,Male,Medical technical officer,None,None
2122,2,Foxglovepull Drive,George,Bailey,37,None,Single,Male,Operations geologist,None,Christian
2123,3,Foxglovepull Drive,Irene,Evans,62,Head,Widowed,Female,Volunteer coordinator,None,Muslim
2124,3,Foxglovepull Drive,Shane,Talbot,1,Grandson,NA,Male,Child,None,NA
2125,4,Foxglovepull Drive,Debra,Carter,25,Head,Divorced,Female,Homeopath,None,Catholic
2126,4,Foxglovepull Drive,Jason,Carter,4,Son,NA,Male,Child,None,NA
2127,4,Foxglovepull Drive,Derek,Carter,2,Son,NA,Male,Child,None,NA
2128,4,Foxglovepull Drive,Paula,Martin,19,Lodger,Single,Female,University Student,None,None
2129,4,Foxglovepull Drive,Gary,Taylor,50,Lodger,Single,Male,Chartered accountant,None,Catholic
2130,5,Foxglovepull Drive,Amanda,Price,34,Head,Single,f,Marketing executive,None,None
2131,5,Foxglovepull Drive,Mohammad,Stephens,21,None,Single,Male,University Student,None,Christian
2132,6,Foxglovepull Drive,Judith,Patel-Davies,53,Head,Married,Female,IT consultant,None,None
2133,6,Foxglovepull Drive,Marcus,Patel-Davies,56,Husband,Married,Male,"Nurse, learning disability",None,None
2134,6,Foxglovepull Drive,Nicola,Patel-Davies,22,Daughter,Divorced,Female,"Engineer, structural",None,None
2135,6,Foxglovepull Drive,Francesca,Patel-Davies,18,Daughter,Single,Female,Student,None,None
2136,7,Foxglovepull Drive,Andrew,Hanson,84,Head,Widowed,Male,Retired Medical technical officer,None,Christian
2137,8,Foxglovepull Drive,Rosemary,Sanders,38,Head,Single,Female,Freight forwarder,None,Christian
2138,8,Foxglovepull Drive,Gregory,Johnson,43,Partner,Single,Male,Meteorologist,None,Christian
2139,8,Foxglovepull Drive,Rachel,Sanders,3,Daughter,NA,Female,Child,None,NA
2140,9,Foxglovepull Drive,Lindsey,Watts,42,Head,Single,Female,Dietitian,None,Christian
2141,9,Foxglovepull Drive,Terence,Moore,41,Partner,Single,Male,Sports therapist,None,Christian
2142,9,Foxglovepull Drive,Beth,Watts,15,Daughter,NA,Female,Student,None,NA
2143,9,Foxglovepull Drive,Ryan,Watts,13,Son,NA,Male,Student,None,NA
2144,10,Foxglovepull Drive,Terry,Patel,43,Head,Single,Male,Unemployed,None,Methodist
2145,10,Foxglovepull Drive,Terence,Williams,49,None,Single,Male,Chief Executive Officer,None,Catholic
2146,11,Foxglovepull Drive,Nathan,Robinson,25,Head,Single,Male,"Research officer, government",None,None
2147,11,Foxglovepull Drive,Julia,Schofield,22,Partner,Single,Female,University Student,None,None
2148,12,Foxglovepull Drive,Leslie,Baker,58,Head,Single,Male,Unemployed,None,Christian
2149,12,Foxglovepull Drive,Andrea,Ali,13,Granddaughter,NA,Female,Student,None,NA
2150,1,Repton Drive,Janet,Reynolds,31,Head,Single,Female,IT technical support officer,None,Christian
2151,2,Repton Drive,Sara,Burton,58,Head,Married,Female,"Therapist, sports",None,None
2152,2,Repton Drive,Maurice,Burton,60,Husband,Married,Male,Volunteer coordinator,None,None
2153,3,Repton Drive,Hazel,Wood,56,Head,Single,Female,Unemployed,None,Christian
2154,3,Repton Drive,Victoria,Wood,25,Daughter,Divorced,Female,"Administrator, charities/voluntary organisations",None,Christian
2155,3,Repton Drive,Hayley,Wood,21,Daughter,Single,Female,University Student,None,Christian
2156,4,Repton Drive,Dominic,King,72,Head,Divorced,Male,Retired Learning disability nurse,None,Christian
2157,5,Repton Drive,Allan,Lee,69,Head,Widowed,Male,Retired Ergonomist,Physical Disability,None
2158,6,Repton Drive,Emma,Chan,76,Head,Divorced,Female,"Retired Psychologist, prison and probation services",None,None
2159,7,Repton Drive,Kathryn,Smith,100,Head,Widowed,Female,"Retired Pharmacist, hospital",None,None
2160,8,Repton Drive,Barry,Taylor,70,Head,Married,Male,"Retired Civil engineer, consulting",None,Methodist
2161,8,Repton Drive,Linda,Taylor,67,Wife,Married,Female,"Merchandiser, retail",None,Methodist
2162,9,Repton Drive,Graeme,Bentley,54,Head,Single,Male,Arboriculturist,None,None
2163,10,Repton Drive,Georgina,Mason,59,Head,Married,Female,Unemployed,None,Christian
2164,10,Repton Drive,Marc,Mason,64,Husband,Married,Male,Transport planner,None,None
2165,10,Repton Drive,Eileen,Mason,14,Granddaughter,NA,Female,Student,None,NA
2166,11,Repton Drive,Dale,Jackson,74,Head,Married,Male,Retired Rural practice surveyor,None,Christian
2167,11,Repton Drive,Emily,Jackson,70,Wife,Married,Female,Retired Illustrator,None,Christian
2168,12,Repton Drive,Brenda,Osborne,57,Head,Single,Female,Economist,None,None
2169,13,Repton Drive,Abdul,Ball,39,Head,Single,Male,Herpetologist,None,Christian
2170,14,Repton Drive,Francesca,King,29,Head,Single,Female,Intelligence analyst,None,Catholic
2171,15,Repton Drive,Holly,Jones,57,Head,Single,Female,Facilities manager,None,Christian
2172,15,Repton Drive,Leonard,Kelly,60,Partner,Single,Male,Economist,None,Christian
2173,16,Repton Drive,Russell,Booth,71,Head,Widowed,Male,"Retired Geologist, wellsite",None,Christian
2174,17,Repton Drive,Abigail,Duncan,21,Head,Single,Female,University Student,None,Sikh
2175,18,Repton Drive,Alex,Parsons,52,Head,Single,Male,Information officer,None,None
2176,19,Repton Drive,Mohamed,Brown,37,Head,Single,Male,"Surveyor, land/geomatics",None,None
2177,19,Repton Drive,Diana,Lawrence,42,None,Divorced,Female,Equality and diversity officer,None,None
2178,20,Repton Drive,Tom,Frost,33,Head,Married,Male,Mental health nurse,None,Muslim
2179,20,Repton Drive,Rebecca,Frost,31,Wife,Married,Female,"Engineer, manufacturing",None,Muslim
2180,21,Repton Drive,Craig,Ellis,45,Head,Married,Male,Unemployed,None,Catholic
2181,21,Repton Drive,Barbara,Ellis,45,Wife,Married,Female,Fish farm manager,None,Catholic
2182,21,Repton Drive,Jessica,Ellis,11,Daughter,NA,Female,Student,None,NA
2183,1,Wembley Junction,Victor,Hart,25,Head,Single,Male,"Surveyor, insurance",None,Muslim
2184,1,Wembley Junction,Yvonne,Miah,23,Partner,Single,Female,Audiological scientist,None,Muslim
2185,2,Wembley Junction,Kirsty,Miller,20,Head,Single,Female,University Student,None,Methodist
2186,3,Wembley Junction,Craig,Perkins,100,Head,Married,Male,Retired Leisure centre manager,None,Catholic
2187,3,Wembley Junction,Jodie,Perkins,94,Wife,Married,Female,Retired Transport planner,None,Catholic
2188,4,Wembley Junction,Carolyn,Jordan,41,Head,Married,Female,Leisure centre manager,None,Christian
2189,4,Wembley Junction,Steven,Jordan,45,Husband,Married,Male,Water engineer,None,Christian
2190,4,Wembley Junction,Annette,Jordan,9,Daughter,NA,Female,Student,None,NA
2191,5,Wembley Junction,Tom,Evans,19,Head,Single,Male,University Student,None,None
2192,6,Wembley Junction,Maureen,Rice,55,Head,Single,Female,Special effects artist,None,Christian
2193,7,Wembley Junction,Ben,Moore,47,Head,Single,Male,Geoscientist,None,Methodist
2194,8,Wembley Junction,Jeffrey,Evans,58,Head,Single,Male,Legal secretary,None,None
2195,8,Wembley Junction,Annette,Reed,61,None,Single,Female,Publishing rights manager,None,None
2196,8,Wembley Junction,Connor,Clarke,19,None,Single,Male,University Student,None,Muslim
2197,9,Wembley Junction,Terry,Smith,65,Head,Married,Male,Sport and exercise psychologist,None,Christian
2198,9,Wembley Junction,Eileen,Smith,65,Wife,Married,Female,Office manager,None,Christian
2199,10,Wembley Junction,Paula,Hayes,58,Head,Married,Female,"Designer, blown glass/stained glass",None,Catholic
2200,10,Wembley Junction,Roger,Hayes,59,Husband,Married,Male,Clinical research associate,None,None
2201,11,Wembley Junction,Rhys,Tucker,54,Head,Married,Male,Civil Service administrator,Disabled,Christian
2202,11,Wembley Junction,Kelly,Tucker,55,Wife,Married,Female,Medical illustrator,None,None
2203,12,Wembley Junction,William,Marshall,58,Head,Single,Male,Insurance underwriter,None,Christian
2204,12,Wembley Junction,Hannah,Weston,43,None,Single,Female,"Teacher, secondary school",None,Christian
2205,12,Wembley Junction,Justin,Thomas,27,None,Single,male,Banker,None,None
2206,13,Wembley Junction,Trevor,Lewis,24,Head,Single,Male,Chief Strategy Officer,None,None
2207,13,Wembley Junction,Gemma,Nelson,22,Partner,Single,Female,University Student,None,None
2208,14,Wembley Junction,Elliot,Hammond,69,Head,Widowed,Male,Retired Mental health nurse,None,Christian
2209,15,Wembley Junction,Jean,O'Sullivan,26,Head,Divorced,Female,Camera operator,None,Catholic
2210,16,Wembley Junction,Alan,Thomas,59,Head,Single,Male,Special effects artist,None,Christian
2211,17,Wembley Junction,James,Lucas,62,Head,Single,Male,Commissioning editor,None,Christian
2212,18,Wembley Junction,Ashley,Matthews,45,Head,Married,Male,Toxicologist,None,Catholic
2213,18,Wembley Junction,Claire,Matthews,45,Wife,Married,Female,Primary school teacher,None,None
2214,18,Wembley Junction,Melanie,Matthews,25,Daughter,Single,Female,"Designer, fashion/clothing",None,None
2215,19,Wembley Junction,Sophie,Thomson,65,Head,Widowed,Female,"Designer, jewellery",None,Catholic
2216,20,Wembley Junction,Marian,Nash,68,Head,Widowed,Female,Retired Hydrologist,None,Christian
2217,21,Wembley Junction,Sylvia,Moore,21,Head,Married,Female,University Student,None,Catholic
2218,21,Wembley Junction,Gordon,Moore,22,Husband,Married,Male,University Student,None,Catholic
2219,21,Wembley Junction,Frank,Moore,3,Son,NA,Male,Child,None,NA
2220,22,Wembley Junction,Samantha,Knowles,48,Head,Single,Female,Chief Operating Officer,None,Private
2221,22,Wembley Junction,Roger,Browne,6,Grandson,NA,Male,Student,None,NA
2222,23,Wembley Junction,Lydia,Duffy,66,Head,Married,Female,Multimedia specialist,None,Christian
2223,23,Wembley Junction,Connor,Duffy,70,Husband,Married,Male,Retired Multimedia programmer,None,Christian
2224,23,Wembley Junction,Caroline,Duffy,33,Daughter,Single,Female,Research scientist (maths),None,Christian
2225,24,Wembley Junction,Harry,Garner,26,Head,Single,Male,Stage manager,None,Methodist
2226,25,Wembley Junction,Adam,Lloyd,35,Head,Married,Male,"Education officer, museum",None,Catholic
2227,25,Wembley Junction,Carly,Lloyd,32,Wife,Married,Female,Dealer,None,None
2228,25,Wembley Junction,Peter,Lloyd,1,Son,NA,Male,Child,None,NA
2229,26,Wembley Junction,Heather,Begum-Jones,16,Head,Divorced,f,Unemployed,None,NA
2230,26,Wembley Junction,Brian,Begum-Jones,0,Son,NA,Male,Child,None,NA
2231,27,Wembley Junction,Paige,Davies,38,Head,Single,Female,"Solicitor, Scotland",None,None
2232,28,Wembley Junction,Abigail,Metcalfe,74,Head,Widowed,Female,Retired Tour manager,None,None
2233,29,Wembley Junction,Jeffrey,Lawrence,33,Head,Single,Male,IT technical support officer,None,Methodist
2234,30,Wembley Junction,Nicola,Palmer,72,Head,Widowed,Female,Retired Petroleum engineer,None,Christian
2235,31,Wembley Junction,Arthur,Francis,61,Head,Married,Male,Trading standards officer,None,Christian
2236,31,Wembley Junction,Lydia,Francis,56,Wife,Married,Female,Chief Strategy Officer,None,None
2237,31,Wembley Junction,Denis,Francis,10,Grandson,NA,Male,Student,None,NA
2238,32,Wembley Junction,Gary,Townsend,46,Head,Divorced,Male,Government social research officer,None,None
2239,32,Wembley Junction,Mathew,Oliver,33,None,Single,Male,Academic librarian,None,None
2240,33,Wembley Junction,Julia,Perkins,54,Head,Married,Female,Environmental consultant,None,None
2241,33,Wembley Junction,Ronald,Perkins,56,Husband,Married,Male,Unemployed,None,None
2242,1,Weston Point,Hilary,Rhodes,72,Head,Married,Female,Retired Health and safety inspector,None,None
2243,1,Weston Point,Dominic,Rhodes,70,Husband,Married,male,Retired Water engineer,None,None
2244,2,Weston Point,Annette,Harrison,64,Head,Married,Female,Facilities manager,None,Christian
2245,2,Weston Point,Martin,Harrison,68,Husband,Married,Male,Unemployed,None,Christian
2246,3,Weston Point,Kimberley,Smith,77,Head,Widowed,Female,Retired Geophysicist/field seismologist,None,Christian
2247,4,Weston Point,Carole,McCarthy,37,Head,Single,Female,Unemployed,None,Christian
2248,4,Weston Point,Mohammad,McCarthy,4,Son,NA,Male,Child,None,NA
2249,5,Weston Point,Leah,Graham,35,Head,Single,Female,Financial risk analyst,None,None
2250,6,Weston Point,Pamela,Newman,42,Head,Married,Female,Sales promotion account executive,None,Catholic
2251,6,Weston Point,Iain,Newman,42,Husband,Married,Male,Applications developer,None,Catholic
2252,6,Weston Point,Natasha,Newman,4,Daughter,NA,Female,Child,None,NA
2253,6,Weston Point,Lynn,Newman,3,Daughter,NA,Female,Child,None,NA
2254,7,Weston Point,Gemma,Cook,27,Head,Married,Female,Glass blower/designer,None,Quaker
2255,7,Weston Point,Mitchell,Cook,35,Husband,Married,Male,Telecommunications researcher,None,Quaker
2256,7,Weston Point,Conor,Cook,2,Son,NA,Male,Child,None,NA
2257,7,Weston Point,Joe,Waters,32,Lodger,Single,Male,Administrator,None,None
2258,7,Weston Point,Julia,Thompson,26,Visitor,Single,Female,Advertising account executive,None,Catholic
2259,8,Weston Point,Terence,Campbell,19,Head,Single,Male,Chiropodist,None,None
2260,9,Weston Point,Rosie,Patel,44,Head,Married,Female,Secondary school teacher,None,None
2261,9,Weston Point,Paul,Patel-Wood,49,Husband,Married,Male,Child psychotherapist,None,None
2262,9,Weston Point,Megan,Patel-Wood,16,Daughter,NA,Female,Student,None,NA
2263,10,Weston Point,Zoe,Holloway,34,Head,Married,Female,"Exhibitions officer, museum/gallery",None,None
2264,10,Weston Point,Mathew,Holloway,34,Husband,Married,Male,Press photographer,None,None
2265,11,Weston Point,Linda,Fox,69,Head,Married,Female,"Retired Surveyor, commercial/residential",None,Christian
2266,11,Weston Point,Garry,Fox,73,Husband,Married,Male,"Retired Lighting technician, broadcasting/film/video",None,Christian
2267,11,Weston Point,Paul,Baker,24,Grandson,Single,Male,"Engineer, agricultural",None,None
2268,11,Weston Point,Jessica,Warner,23,Granddaughter,Divorced,Female,Medical laboratory scientific officer,None,None
2269,11,Weston Point,Callum,Warner,22,Adopted Grandson,Widowed,Male,University Student,None,Christian
2270,12,Weston Point,Gregory,Jones,37,Head,Married,Male,Archivist,None,None
2271,12,Weston Point,Elaine,Jones,35,Wife,Married,Female,"Therapist, drama",None,None
2272,13,Weston Point,Damian,Lawson,36,Head,Single,Male,"Engineer, aeronautical",None,Christian
2273,13,Weston Point,Hayley,Osborne,31,Partner,Single,Female,Games developer,None,None
2274,14,Weston Point,Jennifer,Knight,74,Head,Married,Female,Retired Industrial/product designer,None,Methodist
2275,14,Weston Point,Liam,Knight,73,Husband,Married,Male,Retired Senior tax professional/tax inspector,None,None
2276,15,Weston Point,Rebecca,Hicks,45,Head,Divorced,Female,"Teacher, early years/pre",None,Christian
2277,15,Weston Point,Abdul,Hicks,7,Son,NA,Male,Student,None,NA
2278,16,Weston Point,Rachael,Francis,57,Head,Married,Female,Diplomatic Services operational officer,None,None
2279,16,Weston Point,Jordan,Francis,59,Husband,Married,Male,Soil scientist,None,None
2280,16,Weston Point,Graham,Francis,21,Son,Single,Male,University Student,None,None
2281,16,Weston Point,Donna,Francis,21,Daughter,Single,Female,University Student,None,None
2282,17,Weston Point,Jessica,Anderson,25,Head,Single,Female,IT sales professional,None,None
2283,1,Barrett Circles,Frances,Lewis,27,Head,Married,Female,Unemployed,None,Catholic
2284,1,Barrett Circles,Derek,Lewis,29,Husband,Married,Male,Television camera operator,None,Catholic
2285,1,Barrett Circles,Alan,Lewis,34,Cousin,Single,Male,Land/geomatics surveyor,None,Catholic
2286,1,Barrett Circles,Gillian,Lewis,37,Cousin,Single,Female,Firefighter,None,None
2287,1,Barrett Circles,Joel,Lewis,43,Cousin,Single,Male,IT consultant,None,Catholic
2288,2,Barrett Circles,Kate,Palmer,35,Head,Divorced,Female,"Designer, graphic",None,Jewish
2289,2,Barrett Circles,Liam,Palmer,9,Son,NA,Male,Student,None,NA
2290,2,Barrett Circles,Mohammad,Palmer,7,Son,NA,Male,Student,None,NA
2291,2,Barrett Circles,Yvonne,Palmer,7,Daughter,NA,Female,Student,None,NA
2292,2,Barrett Circles,Jessica,Palmer,3,Adopted Daughter,NA,Female,Child,None,NA
2293,3,Barrett Circles,Dylan,Flynn,33,Head,Married,Male,Set designer,None,Catholic
2294,3,Barrett Circles,Jacqueline,Harrison,32,Wife,Married,Female,Unemployed,None,Catholic
2295,3,Barrett Circles,Bradley,Flynn,1,Son,NA,Male,Child,None,NA
2296,3,Barrett Circles,Damian,Flynn,0,Son,NA,Male,Child,None,NA
2297,3,Barrett Circles,Phillip,Barnes,22,Lodger,Single,Male,University Student,None,Christian
2298,3,Barrett Circles,Lewis,Poole,19,Lodger,Single,Male,University Student,None,None
2299,4,Barrett Circles,Ashley,Davies,32,Head,Married,Male,Maintenance engineer,None,None
2300,4,Barrett Circles,Victoria,Davies,30,Wife,Married,Female,Haematologist,None,None
